Table 1 30-Day Readmission for Mental Health and Substance Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Reporting level,Place or organization,Hospital Peer Group,Corporation,Region,Province/Territory,Urban or rural/remote,Trend note,Time Scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Risk-adjusted rate,Risk-adjusted rate: Confidence interval lower limit,Risk-adjusted rate: Confidence interval upper limit,Risk-adjusted rate: Statistically different,Risk-adjusted rate: Performance comparison,Risk-adjusted rate: Performance trend,Risk-adjusted rate: Top results,Risk-adjusted rate: Relative standing scatter plot confidence intervals,Numerator,Denominator,Crude rate,Disparity rate ratio,Disparity rate ratio: Confidence interval lower limit,Disparity rate ratio: Confidence interval upper limit,Disparity rate ratio: Statistically different,Potential rate reduction,Potential rate reduction: Confidence interval lower limit,Potential rate reduction: Confidence interval upper limit,Potential rate reduction: Statistically different,Expected
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q4,10.1,8.98,11.41,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q5 (highest income),11.0,9.78,12.47,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,9.9,9.47,10.34,Yes,–,–,–,–,–,–,–,1.2,1.03,1.48,Yes,12.7,-1.44,25.16,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2017–2018,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,5.4,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2017–2018,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,8.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2017–2018,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,11.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2017–2018,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,9.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2017–2018,Age group,65+,–,–,–,–,–,–,–,–,–,–,6.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2017–2018,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,8.8,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2017–2018,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,10.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2017–2018,Urban versus rural/remote,Urban,9.3,8.77,9.78,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2017–2018,Neighbourhood income quintile,Q1 (lowest income),10.4,9.71,11.24,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2017–2018,Urban versus rural/remote,Rural/remote,11.1,10.22,12.11,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2017–2018,Neighbourhood income quintile,Q2,9.8,8.87,10.86,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2017–2018,Neighbourhood income quintile,Q3,9.1,8.15,10.26,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2017–2018,Neighbourhood income quintile,Q4,9.6,8.46,10.82,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2017–2018,Neighbourhood income quintile,Q5 (highest income),8.5,7.34,9.75,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,10.2,9.79,10.64,Yes,–,–,–,–,–,–,–,1.0,0.89,1.16,No,-7.7,-20.06,3.57,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2018–2019,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,4.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2018–2019,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,9.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2018–2019,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,11.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2018–2019,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,9.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2018–2019,Age group,65+,–,–,–,–,–,–,–,–,–,–,6.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2018–2019,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,9.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2018–2019,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,10.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q1 (lowest income),10.9,10.22,11.63,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2018–2019,Urban versus rural/remote,Urban,9.9,9.43,10.42,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q2,9.1,8.20,10.09,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2018–2019,Urban versus rural/remote,Rural/remote,10.4,9.57,11.36,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q3,9.2,8.21,10.39,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q4,8.9,7.85,10.17,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q5 (highest income),10.8,9.59,12.04,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,10.5,10.11,10.93,Yes,–,–,–,–,–,–,–,1.1,0.97,1.29,No,7.9,-3.78,18.43,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2019–2020,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,4.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2019–2020,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,9.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2019–2020,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,12.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2019–2020,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,10.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2019–2020,Age group,65+,–,–,–,–,–,–,–,–,–,–,6.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2019–2020,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,9.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2019–2020,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,11.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q1 (lowest income),10.7,10.00,11.35,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2019–2020,Urban versus rural/remote,Urban,10.1,9.61,10.55,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2019–2020,Urban versus rural/remote,Rural/remote,11.4,10.49,12.32,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q2,10.4,9.50,11.36,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q3,10.2,9.21,11.37,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q4,10.5,9.30,11.76,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q5 (highest income),9.5,8.47,10.72,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,11.7,11.28,12.15,Yes,–,–,–,–,–,–,–,1.0,0.91,1.17,No,-0.4,-11.17,9.41,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2020–2021,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,7.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2020–2021,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,10.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2020–2021,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,13.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2020–2021,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,11.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2020–2021,Age group,65+,–,–,–,–,–,–,–,–,–,–,8.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2020–2021,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,10.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2020–2021,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,12.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2020–2021,Urban versus rural/remote,Urban,11.7,11.17,12.17,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q1 (lowest income),12.0,11.29,12.72,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q2,11.5,10.59,12.58,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2020–2021,Urban versus rural/remote,Rural/remote,11.5,10.61,12.48,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q3,11.4,10.34,12.51,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q4,10.9,9.77,12.22,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q5 (highest income),11.7,10.49,12.95,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,12.2,11.76,12.63,Yes,–,–,–,–,–,–,–,1.1,0.96,1.24,No,5.6,-4.58,14.90,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2021–2022,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,6.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2021–2022,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,10.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2021–2022,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,13.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2021–2022,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,12.8,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2021–2022,Age group,65+,–,–,–,–,–,–,–,–,–,–,9.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2021–2022,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,11.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2021–2022,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,12.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2021–2022,Neighbourhood income quintile,Q1 (lowest income),12.5,11.76,13.20,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
