Place or organization,Province/territory,Region,Reporting level,Indicator,Time scale,Time frame,Age-standardized rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Denominator,Crude rate,Rate ratio (income),Potential rate reduction (income),Percent,Refresh date
Ottawa Public Health (Ont.),Ontario,Ottawa Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,257,"Per 100,000",248,266,-,-,-,-,-,-,"October 15, 2025"
Region of Waterloo Public Health (Ont.),Ontario,Region of Waterloo Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,257,"Per 100,000",245,269,-,-,-,-,-,-,"October 15, 2025"
Ontario,Ontario,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,267,"Per 100,000",265,270,-,-,-,2.7,38.6,-,"October 15, 2025"
Estrie Region (Que.),Quebec,Estrie Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,267,"Per 100,000",254,280,-,-,-,-,-,-,"October 15, 2025"
South Vancouver Island HSDA (B.C.),British Columbia,South Vancouver Island HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,267,"Per 100,000",253,283,-,-,-,-,-,-,"October 15, 2025"
Canada,-,-,National,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,304,"Per 100,000",302,306,"108,570","35,812,376",-,2.6,36.4,-,"October 15, 2025"
Capitale-Nationale Region (Que.),Quebec,Capitale-Nationale Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,304,"Per 100,000",294,315,-,-,-,-,-,-,"October 15, 2025"
Durham Region Health Department (Ont.),Ontario,Durham Region Health Department (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,304,"Per 100,000",291,316,-,-,-,-,-,-,"October 15, 2025"
North Vancouver Island HSDA (B.C.),British Columbia,North Vancouver Island HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,304,"Per 100,000",278,334,-,-,-,-,-,-,"October 15, 2025"
North Vancouver Island HSDA (B.C.),British Columbia,North Vancouver Island HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,304,"Per 100,000",277,334,-,-,-,-,-,-,"October 15, 2025"
Winnipeg–Churchill Health Region (Man.),Manitoba,Winnipeg–Churchill Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,304,"Per 100,000",293,316,-,-,-,-,-,-,"October 15, 2025"
Capitale-Nationale Region (Que.),Quebec,Capitale-Nationale Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,261,"Per 100,000",252,272,-,-,-,-,-,-,"October 15, 2025"
Peel Public Health (Ont.),Ontario,Peel Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,261,"Per 100,000",253,269,-,-,-,-,-,-,"October 15, 2025"
South Vancouver Island HSDA (B.C.),British Columbia,South Vancouver Island HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,261,"Per 100,000",247,276,-,-,-,-,-,-,"October 15, 2025"
Capitale-Nationale Region (Que.),Quebec,Capitale-Nationale Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,189,"Per 100,000",180,198,-,-,-,-,-,-,"October 15, 2025"
Lambton Public Health (Ont.),Ontario,Lambton Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,189,"Per 100,000",168,213,-,-,-,-,-,-,"October 15, 2025"
Capitale-Nationale Region (Que.),Quebec,Capitale-Nationale Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,190,"Per 100,000",181,199,-,-,-,-,-,-,"October 15, 2025"
York Region Public Health (Ont.),Ontario,York Region Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,190,"Per 100,000",183,198,-,-,-,-,-,-,"October 15, 2025"
Capitale-Nationale Region (Que.),Quebec,Capitale-Nationale Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,231,"Per 100,000",222,241,-,-,-,-,-,-,"October 15, 2025"
Fraser Health (B.C.),British Columbia,Fraser Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,231,"Per 100,000",224,237,-,-,-,-,-,-,"October 15, 2025"
Peel Public Health (Ont.),Ontario,Peel Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,231,"Per 100,000",224,238,-,-,-,-,-,-,"October 15, 2025"
Winnipeg–Churchill Health Region (Man.),Manitoba,Winnipeg–Churchill Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,231,"Per 100,000",221,241,-,-,-,-,-,-,"October 15, 2025"
Capitale-Nationale Region (Que.),Quebec,Capitale-Nationale Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,233,"Per 100,000",224,243,-,"712,314",-,-,-,-,"October 15, 2025"
Central Region (Ont.),Ontario,Central Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,233,"Per 100,000",229,238,-,-,-,-,-,-,"October 15, 2025"
Toronto Public Health (Ont.),Ontario,Toronto Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,233,"Per 100,000",228,239,-,-,-,-,-,-,"October 15, 2025"
Toronto Region (Ont.),Ontario,Toronto Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,233,"Per 100,000",228,239,-,-,-,-,-,-,"October 15, 2025"
Gaspésie–Îles-de-la-Madeleine Region (Que.),Quebec,Gaspésie–Îles-de-la-Madeleine Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,688,"Per 100,000",644,736,-,-,-,-,-,-,"October 15, 2025"
Gaspésie–Îles-de-la-Madeleine Region (Que.),Quebec,Gaspésie–Îles-de-la-Madeleine Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,688,"Per 100,000",644,737,-,-,-,-,-,-,"October 15, 2025"
Gaspésie–Îles-de-la-Madeleine Region (Que.),Quebec,Gaspésie–Îles-de-la-Madeleine Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,721,"Per 100,000",676,770,-,-,-,-,-,-,"October 15, 2025"
Gaspésie–Îles-de-la-Madeleine Region (Que.),Quebec,Gaspésie–Îles-de-la-Madeleine Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,741,"Per 100,000",698,789,-,-,-,-,-,-,"October 15, 2025"
Gaspésie–Îles-de-la-Madeleine Region (Que.),Quebec,Gaspésie–Îles-de-la-Madeleine Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,663,"Per 100,000",621,710,-,-,-,-,-,-,"October 15, 2025"
Gaspésie–Îles-de-la-Madeleine Region (Que.),Quebec,Gaspésie–Îles-de-la-Madeleine Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,687,"Per 100,000",645,735,-,-,-,-,-,-,"October 15, 2025"
Algoma Public Health (Ont.),Ontario,Algoma Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,624,"Per 100,000",585,667,-,-,-,-,-,-,"October 15, 2025"
Brant County Health Unit (Ont.),Ontario,Brant County Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,624,"Per 100,000",589,663,-,-,-,-,-,-,"October 15, 2025"
Gaspésie–Îles-de-la-Madeleine Region (Que.),Quebec,Gaspésie–Îles-de-la-Madeleine Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,624,"Per 100,000",583,669,-,-,-,-,-,-,"October 15, 2025"
Saskatchewan,Saskatchewan,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,442,"Per 100,000",430,453,-,-,-,2.9,36.4,-,"October 15, 2025"
Gaspésie–Îles-de-la-Madeleine Region (Que.),Quebec,Gaspésie–Îles-de-la-Madeleine Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,442,"Per 100,000",406,484,-,-,-,-,-,-,"October 15, 2025"
Northern Interior HSDA (B.C.),British Columbia,Northern Interior HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,442,"Per 100,000",412,476,-,-,-,-,-,-,"October 15, 2025"
Outaouais Region (Que.),Quebec,Outaouais Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,442,"Per 100,000",425,461,-,-,-,-,-,-,"October 15, 2025"
Peterborough Public Health (Ont.),Ontario,Peterborough Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,442,"Per 100,000",411,475,-,-,-,-,-,-,"October 15, 2025"
Saskatchewan,Saskatchewan,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,455,"Per 100,000",444,467,-,-,-,2.7,34.6,-,"October 15, 2025"
Gaspésie–Îles-de-la-Madeleine Region (Que.),Quebec,Gaspésie–Îles-de-la-Madeleine Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,455,"Per 100,000",418,498,-,-,-,-,-,-,"October 15, 2025"
Lambton Public Health (Ont.),Ontario,Lambton Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,455,"Per 100,000",423,489,-,-,-,-,-,-,"October 15, 2025"
Manitoba,Manitoba,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,384,"Per 100,000",374,394,-,-,-,-,-,-,"October 15, 2025"
"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",Ontario,"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,384,"Per 100,000",360,411,-,-,-,-,-,-,"October 15, 2025"
Lanaudière Region (Que.),Quebec,Lanaudière Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,384,"Per 100,000",370,399,-,-,-,-,-,-,"October 15, 2025"
North Vancouver Island HSDA (B.C.),British Columbia,North Vancouver Island HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,384,"Per 100,000",355,417,-,-,-,-,-,-,"October 15, 2025"
Windsor–Essex County Health Unit (Ont.),Ontario,Windsor–Essex County Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,384,"Per 100,000",367,401,-,-,-,-,-,-,"October 15, 2025"
Central Vancouver Island HSDA (B.C.),British Columbia,Central Vancouver Island HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,372,"Per 100,000",351,394,-,-,-,-,-,-,"October 15, 2025"
Hamilton Public Health Services (Ont.),Ontario,Hamilton Public Health Services (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,372,"Per 100,000",358,387,-,-,-,-,-,-,"October 15, 2025"
Interior Health (B.C.),British Columbia,Interior Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,372,"Per 100,000",360,385,-,-,-,-,-,-,"October 15, 2025"
Lanaudière Region (Que.),Quebec,Lanaudière Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,372,"Per 100,000",358,386,-,-,-,-,-,-,"October 15, 2025"
Middlesex–London Health Unit (Ont.),Ontario,Middlesex–London Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,372,"Per 100,000",358,388,-,-,-,-,-,-,"October 15, 2025"
Windsor–Essex County Health Unit (Ont.),Ontario,Windsor–Essex County Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,372,"Per 100,000",356,388,-,-,-,-,-,-,"October 15, 2025"
Grey Bruce Health Unit (Ont.),Ontario,Grey Bruce Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,430,"Per 100,000",403,461,-,-,-,-,-,-,"October 15, 2025"
Lanaudière Region (Que.),Quebec,Lanaudière Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,430,"Per 100,000",415,445,-,-,-,-,-,-,"October 15, 2025"
North Bay Parry Sound District Health Unit (Ont.),Ontario,North Bay Parry Sound District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,430,"Per 100,000",399,464,-,-,-,-,-,-,"October 15, 2025"
Canada,-,-,National,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,370,"Per 100,000",369,372,"120,936","33,945,287",-,2.6,37.7,-,"October 15, 2025"
Saskatchewan,Saskatchewan,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,370,"Per 100,000",359,381,-,-,-,2.8,34.6,-,"October 15, 2025"
Huron Perth Public Health (Ont.),Ontario,Huron Perth Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,370,"Per 100,000",342,401,-,-,-,-,-,-,"October 15, 2025"
Laurentides Region (Que.),Quebec,Laurentides Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,370,"Per 100,000",358,383,-,-,-,-,-,-,"October 15, 2025"
Outaouais Region (Que.),Quebec,Outaouais Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,370,"Per 100,000",354,386,-,-,-,-,-,-,"October 15, 2025"
South Zone (Alta.),Alberta,South Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,370,"Per 100,000",351,390,-,"302,975",-,-,-,-,"October 15, 2025"
Quebec,Quebec,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,230,"Per 100,000",227,233,-,-,-,2.5,36.5,-,"October 15, 2025"
Laurentides Region (Que.),Quebec,Laurentides Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,230,"Per 100,000",221,240,-,-,-,-,-,-,"October 15, 2025"
Ottawa Public Health (Ont.),Ontario,Ottawa Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,230,"Per 100,000",222,239,-,-,-,-,-,-,"October 15, 2025"
Laurentides Region (Que.),Quebec,Laurentides Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,284,"Per 100,000",274,296,-,-,-,-,-,-,"October 15, 2025"
Laval Region (Que.),Quebec,Laval Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,284,"Per 100,000",271,298,-,-,-,-,-,-,"October 15, 2025"
Laurentides Region (Que.),Quebec,Laurentides Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,289,"Per 100,000",278,300,-,"606,327",-,-,-,-,"October 15, 2025"
Toronto Public Health (Ont.),Ontario,Toronto Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,289,"Per 100,000",283,295,-,-,-,-,-,-,"October 15, 2025"
Toronto Region (Ont.),Ontario,Toronto Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,289,"Per 100,000",283,295,-,-,-,-,-,-,"October 15, 2025"
Canada,-,-,National,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,282,"Per 100,000",281,284,"98,309","35,164,405",-,2.7,38.2,-,"October 15, 2025"
Laval Region (Que.),Quebec,Laval Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,282,"Per 100,000",268,296,-,-,-,-,-,-,"October 15, 2025"
Halton Region Health Department (Ont.),Ontario,Halton Region Health Department (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,169,"Per 100,000",159,179,-,-,-,-,-,-,"October 15, 2025"
Laval Region (Que.),Quebec,Laval Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,169,"Per 100,000",159,180,-,-,-,-,-,-,"October 15, 2025"
Halton Region Health Department (Ont.),Ontario,Halton Region Health Department (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,215,"Per 100,000",204,226,-,-,-,-,-,-,"October 15, 2025"
Halton Region Health Department (Ont.),Ontario,Halton Region Health Department (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,215,"Per 100,000",204,226,-,-,-,-,-,-,"October 15, 2025"
Laval Region (Que.),Quebec,Laval Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,215,"Per 100,000",203,228,-,-,-,-,-,-,"October 15, 2025"
Richmond HSDA (B.C.),British Columbia,Richmond HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,215,"Per 100,000",198,234,-,-,-,-,-,-,"October 15, 2025"
Vancouver HSDA (B.C.),British Columbia,Vancouver HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,215,"Per 100,000",205,225,-,-,-,-,-,-,"October 15, 2025"
Durham Region Health Department (Ont.),Ontario,Durham Region Health Department (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,224,"Per 100,000",215,235,-,-,-,-,-,-,"October 15, 2025"
Fraser Health (B.C.),British Columbia,Fraser Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,224,"Per 100,000",218,230,-,-,-,-,-,-,"October 15, 2025"
Laval Region (Que.),Quebec,Laval Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,224,"Per 100,000",212,237,-,-,-,-,-,-,"October 15, 2025"
Peel Public Health (Ont.),Ontario,Peel Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,224,"Per 100,000",217,231,-,-,-,-,-,-,"October 15, 2025"
Southern Health Region (Man.),Manitoba,Southern Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,224,"Per 100,000",206,243,-,-,-,-,-,-,"October 15, 2025"
